dstport,protocol,tag
40474,icmp,sv_P17
62834,tcp,sv_P13
11006,icmp,sv_P17
12269,icmp,email
34228,tcp,web
47351,icmp,sv_P17
9669,tcp,sv_P8
15537,tcp,web
43034,icmp,service
3505,tcp,sv_P8
58456,tcp,email
200,tcp,sv_P16
37585,tcp,sv_P6
3634,udp,email
35721,icmp,sv_P9
20722,tcp,sv_P10
52735,icmp,service
21666,tcp,sv_P19
29377,icmp,sv_P13
60623,icmp,sv_P7
35289,udp,sv_P19
59893,udp,sv_P9
3565,udp,sv_P17
27376,icmp,sv_P17
33137,tcp,sv_P4
22921,icmp,sv_P8
4739,tcp,email
21522,tcp,email
57420,udp,web
35136,icmp,sv_P20
7060,tcp,service
57697,udp,sv_P20
65075,icmp,sv_P1
49552,tcp,sv_P20
3261,udp,sv_P5
8596,udp,sv_P14
58419,udp,sv_P16
30507,icmp,sv_P20
61282,icmp,web
53556,icmp,web
50448,icmp,service
55754,udp,sv_P7
50101,udp,sv_P9
47251,tcp,sv_P9
38281,icmp,sv_P4
34087,udp,sv_P12
64585,icmp,sv_P1
7510,udp,sv_P13
16367,udp,sv_P16
30572,tcp,service
37026,icmp,sv_P4
3370,icmp,sv_P11
64530,tcp,sv_P17
20461,udp,sv_P20
35794,tcp,sv_P8
42797,udp,sv_P19
4251,udp,service
29505,icmp,sv_P1
36514,tcp,sv_P1
55861,tcp,sv_P5
9562,icmp,sv_P17
50766,icmp,sv_P3
28602,udp,sv_P7
6319,tcp,sv_P14
29425,udp,sv_P13
39707,udp,web
61698,tcp,sv_P1
65233,icmp,sv_P7
53559,udp,sv_P5
14185,tcp,sv_P10
28102,icmp,sv_P13
23582,tcp,sv_P15
56499,tcp,sv_P12
61256,icmp,sv_P8
2778,icmp,web
5877,icmp,sv_P6
58358,udp,sv_P9
11911,tcp,service
43868,icmp,sv_P19
22594,icmp,sv_P13
53997,icmp,web
11098,udp,sv_P13
31152,udp,sv_P9
14987,tcp,sv_P9
58678,icmp,sv_P5
41240,icmp,web
34521,icmp,sv_P6
27739,tcp,sv_P14
29232,icmp,sv_P19
18818,icmp,sv_P10
5638,tcp,sv_P3
7864,tcp,sv_P8
24936,udp,service
17843,icmp,web
41049,tcp,sv_P5
18038,tcp,sv_P15
26656,icmp,web
64668,icmp,sv_P20
40091,tcp,sv_P8
27367,udp,sv_P18
55832,tcp,sv_P11
64474,tcp,sv_P17
4725,icmp,sv_P20
39253,tcp,sv_P8
7343,icmp,sv_P1
27807,tcp,sv_P13
13059,udp,sv_P18
34355,tcp,service
17176,icmp,email
63335,icmp,sv_P15
33575,icmp,sv_P11
3973,udp,sv_P9
1946,tcp,service
33861,udp,sv_P17
9190,udp,sv_P19
20856,icmp,sv_P3
53803,icmp,sv_P3
52096,udp,sv_P13
7470,icmp,sv_P3
62760,udp,sv_P3
1061,icmp,sv_P16
10137,tcp,sv_P10
35708,icmp,sv_P19
40795,udp,sv_P18
23663,udp,sv_P19
61915,tcp,sv_P13
50070,udp,sv_P10
63469,icmp,sv_P19
62563,tcp,sv_P8
61597,icmp,sv_P2
48432,tcp,sv_P12
21544,icmp,service
46193,icmp,sv_P1
4409,tcp,sv_P13
46452,tcp,web
34532,icmp,sv_P10
61147,tcp,sv_P6
7634,icmp,web
25207,icmp,sv_P5
21772,udp,sv_P2
48065,udp,sv_P16
64507,udp,sv_P2
63641,udp,sv_P13
49051,icmp,email
63096,icmp,sv_P15
36539,udp,sv_P19
9619,tcp,sv_P19
5212,tcp,sv_P4
24044,tcp,email
23048,icmp,sv_P17
58655,tcp,sv_P15
33573,tcp,sv_P5
5825,tcp,sv_P13
28320,tcp,sv_P14
6510,icmp,sv_P8
24064,udp,sv_P9
19185,icmp,sv_P8
32504,udp,sv_P5
41352,tcp,sv_P13
44490,icmp,service
56808,icmp,sv_P16
41404,udp,sv_P8
61537,udp,sv_P8
27912,tcp,service
18223,udp,email
60321,icmp,sv_P4
54485,icmp,sv_P5
48595,tcp,sv_P13
52632,icmp,sv_P10
10361,icmp,sv_P4
1105,udp,sv_P14
58434,icmp,sv_P3
3900,udp,sv_P18
23020,udp,sv_P12
8793,tcp,sv_P13
64486,icmp,sv_P11
3217,tcp,sv_P2
41551,tcp,sv_P15
18933,udp,service
8865,icmp,email
59494,icmp,sv_P3
61306,tcp,sv_P7
33328,tcp,sv_P8
51819,udp,service
37412,icmp,web
60660,tcp,sv_P10
2425,udp,web
53694,udp,sv_P9
24146,udp,sv_P13
44992,icmp,sv_P18
19266,icmp,sv_P16
35336,tcp,service
11417,udp,sv_P11
40591,udp,sv_P16
6424,icmp,sv_P11
22533,udp,sv_P18
5150,udp,sv_P7
56360,udp,sv_P3
21620,icmp,sv_P1
61075,udp,sv_P7
41531,tcp,email
51034,icmp,sv_P14
7212,udp,sv_P15
2502,tcp,sv_P16
3368,icmp,sv_P1
46281,icmp,sv_P8
53478,tcp,sv_P11
23616,icmp,sv_P19
38776,udp,sv_P10
53788,udp,sv_P4
29086,udp,sv_P8
2966,icmp,sv_P20
3406,udp,sv_P1
55777,icmp,sv_P14
57672,udp,sv_P9
43238,icmp,sv_P2
11417,udp,sv_P7
4315,tcp,sv_P5
31964,tcp,sv_P15
4133,icmp,sv_P7
47320,icmp,service
38830,tcp,sv_P19
62494,icmp,email
58380,udp,sv_P4
40487,icmp,service
41183,icmp,sv_P15
19760,tcp,sv_P13
53481,icmp,sv_P12
16573,tcp,sv_P2
46570,icmp,email
55360,tcp,sv_P4
26573,tcp,sv_P14
22375,udp,email
11020,udp,sv_P15
31150,udp,email
24738,tcp,sv_P14
17283,udp,sv_P4
27750,tcp,sv_P16
23000,tcp,sv_P4
5772,udp,sv_P14
381,tcp,sv_P4
30019,icmp,sv_P7
64245,tcp,sv_P11
60543,tcp,sv_P13
36252,tcp,sv_P12
164,icmp,sv_P2
63925,udp,sv_P14
36210,udp,email
59245,icmp,sv_P8
36111,udp,sv_P9
49011,udp,sv_P17
7993,icmp,sv_P14
63084,udp,sv_P11
41053,tcp,email
9542,udp,web
29379,udp,email
32586,icmp,sv_P18
27335,tcp,sv_P9
42031,icmp,sv_P9
49913,tcp,sv_P16
47895,tcp,sv_P6
42612,udp,email
3316,tcp,sv_P3
6536,udp,sv_P4
2513,icmp,sv_P10
6358,icmp,sv_P11
52608,udp,sv_P1
25273,icmp,sv_P5
1119,tcp,web
14225,udp,sv_P18
46018,tcp,email
57660,icmp,sv_P7
27625,udp,sv_P12
17215,udp,sv_P2
26501,tcp,email
58942,udp,sv_P8
9526,icmp,sv_P14
44876,udp,sv_P9
45448,icmp,sv_P9
47261,udp,sv_P17
12697,udp,sv_P1
26272,tcp,sv_P9
20646,udp,sv_P3
7868,icmp,sv_P3
27166,tcp,sv_P15
16092,tcp,service
60487,icmp,sv_P7
42730,tcp,sv_P7
49924,tcp,sv_P17
14231,icmp,sv_P6
57211,udp,sv_P6
39600,icmp,sv_P20
5646,icmp,sv_P7
46926,tcp,sv_P11
50839,tcp,sv_P2
7686,icmp,sv_P7
45248,tcp,sv_P5
38010,udp,sv_P4
3646,udp,sv_P1
38605,icmp,sv_P13
10120,icmp,sv_P4
39287,tcp,sv_P9
25481,icmp,sv_P20
4753,udp,sv_P9
47262,udp,email
16258,udp,sv_P17
64361,icmp,email
31141,tcp,sv_P17
19773,tcp,sv_P18
60821,tcp,sv_P1
51779,udp,sv_P14
43591,icmp,sv_P3
42295,tcp,sv_P11
59598,udp,sv_P13
20251,tcp,sv_P4
26030,tcp,sv_P12
13689,tcp,sv_P8
56729,tcp,sv_P1
59493,icmp,sv_P8
21135,icmp,sv_P4
55146,icmp,sv_P9
14843,icmp,sv_P9
13159,icmp,sv_P16
56097,udp,web
62799,tcp,sv_P3
34190,udp,sv_P1
17375,tcp,sv_P15
18824,icmp,sv_P5
28387,tcp,sv_P6
3926,udp,sv_P17
62647,icmp,sv_P18
58107,tcp,sv_P9
50090,icmp,sv_P19
10000,icmp,sv_P8
48579,udp,sv_P9
35770,udp,sv_P15
48729,icmp,service
65361,udp,sv_P12
51152,icmp,sv_P16
62003,icmp,sv_P4
29497,udp,sv_P1
60705,udp,sv_P18
49146,tcp,email
25072,udp,sv_P12
18604,icmp,sv_P19
37979,icmp,sv_P14
7222,icmp,web
6961,tcp,sv_P8
38847,icmp,sv_P5
18480,icmp,sv_P7
4574,icmp,sv_P8
39432,udp,sv_P6
5306,udp,sv_P2
23950,icmp,sv_P6
28549,tcp,sv_P3
52962,udp,sv_P6
24836,icmp,sv_P6
59937,udp,sv_P4
61424,tcp,sv_P4
4527,icmp,sv_P3
31253,tcp,sv_P16
3010,tcp,sv_P4
39202,icmp,sv_P2
16878,udp,sv_P15
49204,icmp,service
13527,udp,sv_P14
56942,icmp,sv_P10
12588,icmp,sv_P18
42619,udp,sv_P5
5561,tcp,sv_P8
24485,icmp,sv_P16
61590,udp,sv_P4
55679,udp,sv_P4
41991,tcp,sv_P20
10544,udp,sv_P13
29914,icmp,sv_P7
29781,udp,sv_P9
33171,tcp,sv_P13
2608,icmp,web
63233,icmp,sv_P2
34852,tcp,sv_P7
16183,tcp,sv_P13
58883,tcp,sv_P17
54003,icmp,sv_P8
25815,udp,sv_P17
51558,tcp,email
28663,tcp,sv_P15
10980,icmp,sv_P15
39805,icmp,sv_P18
21649,tcp,sv_P12
32232,icmp,web
40555,tcp,sv_P18
45040,icmp,sv_P9
46826,icmp,sv_P9
58784,udp,sv_P9
47059,icmp,sv_P20
48240,udp,sv_P10
55678,tcp,sv_P20
54121,tcp,sv_P15
378,udp,sv_P19
38962,udp,sv_P12
9268,icmp,sv_P16
36666,tcp,sv_P7
5715,udp,sv_P3
35577,udp,sv_P18
43175,udp,service
20229,tcp,sv_P9
22205,tcp,sv_P8
18416,icmp,sv_P19
54093,tcp,sv_P20
21482,tcp,sv_P19
56587,icmp,email
64128,icmp,sv_P13
42209,udp,sv_P2
3702,udp,sv_P15
29263,icmp,sv_P6
47074,udp,sv_P7
10385,icmp,email
13463,icmp,sv_P1
64244,tcp,email
65187,udp,sv_P6
57074,tcp,sv_P8
4219,tcp,sv_P18
26187,tcp,service
23569,icmp,web
59470,tcp,sv_P11
13455,icmp,sv_P17
35610,icmp,sv_P1
15023,icmp,sv_P6
20487,icmp,sv_P7
9425,tcp,sv_P3
48140,icmp,sv_P5
36971,icmp,sv_P5
42742,tcp,sv_P19
49798,udp,sv_P7
26324,tcp,service
32273,udp,web
33508,tcp,sv_P5
2045,tcp,sv_P18
62655,tcp,sv_P5
16915,tcp,sv_P15
22085,icmp,sv_P6
6837,udp,sv_P8
35262,udp,sv_P3
22623,udp,sv_P8
58936,tcp,email
55862,icmp,service
40464,tcp,sv_P7
23150,udp,sv_P15
63493,tcp,service
486,icmp,sv_P11
57789,udp,sv_P10
45827,udp,sv_P9
23583,tcp,web
32713,udp,sv_P18
38291,udp,sv_P2
13674,udp,sv_P10
25041,udp,email
46265,udp,sv_P3
5627,tcp,sv_P18
5812,tcp,web
62315,udp,sv_P1
57122,icmp,sv_P6
42348,udp,sv_P2
45436,icmp,service
15228,tcp,sv_P13
41754,udp,sv_P11
9864,icmp,service
31060,tcp,sv_P9
52680,icmp,sv_P12
56841,tcp,sv_P20
41695,tcp,sv_P8
62447,tcp,sv_P19
29706,icmp,sv_P1
63692,udp,sv_P4
21793,icmp,sv_P11
46243,udp,sv_P3
29343,tcp,sv_P14
7071,udp,sv_P6
12317,udp,sv_P5
393,icmp,sv_P12
24348,tcp,service
6865,udp,sv_P19
33037,icmp,sv_P14
22053,icmp,sv_P11
29451,udp,sv_P7
9152,udp,sv_P16
20967,icmp,sv_P18
62651,icmp,sv_P2
44779,udp,sv_P13
56623,tcp,sv_P18
16455,udp,sv_P6
14132,tcp,sv_P13
55744,tcp,sv_P8
7692,tcp,sv_P3
14645,udp,sv_P6
59236,tcp,email
40977,udp,sv_P16
9357,icmp,sv_P14
23548,tcp,sv_P16
18842,tcp,sv_P2
56523,udp,sv_P15
55560,tcp,sv_P5
42761,icmp,sv_P15
60957,tcp,sv_P4
56833,tcp,sv_P10
11750,icmp,sv_P4
34562,udp,sv_P10
31736,udp,sv_P18
57327,icmp,sv_P7
49762,udp,sv_P4
61400,udp,sv_P10
16706,icmp,sv_P8
60241,tcp,sv_P9
31892,icmp,sv_P14
55785,icmp,sv_P14
27643,udp,sv_P5
16052,icmp,sv_P14
7200,icmp,sv_P14
36009,udp,sv_P7
55782,udp,sv_P11
57643,tcp,sv_P4
19794,udp,sv_P5
18112,tcp,sv_P8
16903,tcp,sv_P4
11408,icmp,sv_P8
1956,icmp,service
10658,tcp,sv_P2
16716,icmp,email
53126,icmp,web
29785,tcp,sv_P19
14575,tcp,service
13664,tcp,sv_P6
51996,udp,sv_P12
23099,icmp,sv_P14
20382,udp,sv_P11
49023,udp,sv_P3
22094,tcp,web
51754,icmp,sv_P19
57252,tcp,sv_P10
40289,udp,sv_P4
41739,tcp,sv_P12
40493,icmp,sv_P15
56488,icmp,web
56854,icmp,sv_P19
10158,udp,sv_P11
6733,tcp,sv_P12
33447,icmp,sv_P11
59536,udp,sv_P4
64187,tcp,sv_P10
19138,tcp,sv_P15
26722,udp,sv_P13
7372,udp,sv_P20
59358,icmp,sv_P1
50358,udp,sv_P16
38120,tcp,sv_P4
62372,udp,sv_P8
29107,udp,sv_P14
37391,tcp,sv_P1
23578,tcp,web
17820,icmp,sv_P3
40577,udp,sv_P3
28459,tcp,sv_P2
42041,udp,sv_P3
32966,tcp,sv_P19
48412,udp,sv_P12
28964,icmp,sv_P16
44501,udp,sv_P1
1448,udp,sv_P17
58912,icmp,sv_P1
60309,icmp,sv_P15
27589,udp,sv_P20
28281,tcp,sv_P19
48685,udp,sv_P9
54771,icmp,sv_P1
46323,icmp,sv_P5
26740,udp,sv_P2
50991,tcp,sv_P4
60107,udp,sv_P20
58455,udp,email
27591,tcp,sv_P6
7813,icmp,service
64368,udp,sv_P10
7558,icmp,email
57011,icmp,sv_P9
17506,tcp,sv_P14
15046,icmp,service
4836,udp,sv_P18
62998,tcp,sv_P18
3582,tcp,sv_P2
39851,tcp,sv_P18
40474,udp,sv_P4
39977,tcp,sv_P15
63,icmp,sv_P4
16850,udp,sv_P15
12979,tcp,sv_P20
34623,tcp,sv_P11
56054,icmp,sv_P3
28740,tcp,sv_P3
45295,icmp,sv_P19
61368,tcp,sv_P9
10298,tcp,sv_P5
8786,icmp,sv_P3
17542,udp,sv_P1
52452,tcp,service
7997,tcp,sv_P12
54396,tcp,sv_P10
55965,udp,sv_P9
27233,tcp,email
10008,tcp,sv_P10
8442,udp,sv_P7
11184,icmp,sv_P11
9027,icmp,sv_P18
47246,icmp,sv_P11
57571,tcp,sv_P18
57463,icmp,sv_P19
20446,udp,sv_P6
37081,udp,sv_P13
5843,icmp,sv_P20
36140,tcp,sv_P17
54392,udp,sv_P16
16101,tcp,sv_P16
29149,tcp,sv_P16
62300,tcp,sv_P4
45736,tcp,sv_P19
25599,icmp,sv_P17
44287,icmp,sv_P5
56780,udp,sv_P14
26478,tcp,sv_P5
52618,udp,sv_P16
9735,udp,sv_P10
47183,tcp,sv_P7
55148,icmp,sv_P20
1326,icmp,sv_P4
42049,udp,service
32870,icmp,sv_P6
47267,tcp,sv_P7
9895,udp,sv_P7
61983,tcp,service
17215,icmp,sv_P14
54316,icmp,web
40109,icmp,sv_P14
63996,udp,web
40799,icmp,sv_P12
48119,udp,sv_P2
37999,udp,sv_P13
27464,tcp,sv_P5
33691,tcp,sv_P8
38522,icmp,sv_P1
46148,udp,email
15751,udp,sv_P8
49938,udp,sv_P20
22417,udp,email
65018,udp,sv_P6
1961,icmp,sv_P16
20760,icmp,web
23825,udp,sv_P8
33908,icmp,sv_P8
35590,icmp,sv_P2
62530,udp,sv_P3
40090,icmp,sv_P20
55460,tcp,sv_P18
60195,tcp,sv_P5
28800,tcp,service
29466,tcp,sv_P1
45273,tcp,sv_P19
59674,udp,sv_P2
4007,tcp,sv_P15
39817,icmp,sv_P1
19774,tcp,sv_P6
47009,udp,sv_P8
5592,udp,sv_P11
65205,udp,sv_P3
37917,udp,sv_P15
6710,icmp,sv_P6
15168,icmp,sv_P11
44894,udp,sv_P4
44765,tcp,sv_P17
18654,udp,sv_P13
15948,icmp,sv_P18
17631,icmp,sv_P12
5023,tcp,sv_P8
20831,tcp,sv_P10
32174,udp,sv_P14
26305,icmp,sv_P3
11479,icmp,sv_P13
2543,udp,sv_P12
13764,udp,sv_P3
9420,udp,sv_P15
60511,udp,email
64197,udp,service
50039,tcp,sv_P10
14183,tcp,sv_P14
21246,icmp,sv_P19
1477,udp,sv_P4
61090,tcp,web
26227,icmp,sv_P4
61705,icmp,sv_P19
8653,icmp,sv_P12
34315,udp,sv_P17
31569,icmp,service
55504,udp,sv_P12
53058,icmp,sv_P18
6140,tcp,sv_P14
47872,icmp,sv_P16
42431,tcp,sv_P4
31971,tcp,sv_P12
16571,tcp,sv_P13
53183,tcp,sv_P13
20749,tcp,sv_P1
26438,tcp,sv_P7
9627,icmp,sv_P5
9822,tcp,sv_P10
11677,icmp,sv_P5
54929,icmp,sv_P8
49019,tcp,sv_P4
22558,tcp,sv_P2
40466,icmp,sv_P9
12610,tcp,sv_P1
42265,udp,sv_P12
46733,icmp,sv_P15
32504,udp,sv_P6
11421,tcp,sv_P1
54740,udp,sv_P2
23518,icmp,service
6289,udp,sv_P14
40288,tcp,sv_P16
3446,tcp,sv_P9
42068,icmp,sv_P20
59464,icmp,sv_P2
36827,icmp,sv_P2
34560,tcp,sv_P8
24421,udp,sv_P1
56157,icmp,sv_P7
61024,icmp,sv_P9
1380,icmp,sv_P6
25681,icmp,sv_P4
28653,tcp,service
44120,tcp,sv_P20
28276,icmp,sv_P8
30030,tcp,sv_P7
39795,icmp,web
56216,tcp,sv_P5
864,icmp,sv_P18
23051,icmp,sv_P20
25549,udp,sv_P2
20080,tcp,sv_P13
54129,icmp,service
25751,tcp,sv_P13
49976,udp,sv_P16
12978,tcp,sv_P11
52598,udp,sv_P20
35896,tcp,sv_P2
46964,tcp,sv_P4
64445,udp,sv_P15
10631,icmp,sv_P2
6043,udp,sv_P8
61937,tcp,email
47328,icmp,sv_P8
43184,icmp,sv_P16
1727,icmp,web
9655,udp,email
16127,tcp,sv_P20
43437,tcp,email
50888,udp,sv_P19
31597,tcp,sv_P7
54024,udp,sv_P18
35379,udp,sv_P1
13369,icmp,sv_P19
12968,icmp,sv_P7
38404,tcp,sv_P6
57369,tcp,web
20384,udp,sv_P14
2474,tcp,sv_P1
26266,tcp,sv_P16
31337,udp,sv_P5
29889,udp,sv_P7
56577,udp,sv_P14
46037,tcp,web
31450,icmp,sv_P6
57602,udp,sv_P2
63516,udp,sv_P15
24800,udp,email
3784,tcp,sv_P18
46592,icmp,sv_P3
48261,udp,web
53691,udp,sv_P16
29967,udp,sv_P16
52601,tcp,sv_P9
45610,tcp,sv_P10
61149,tcp,sv_P5
64157,icmp,sv_P4
13437,tcp,sv_P11
465,udp,sv_P14
44814,tcp,sv_P7
2327,tcp,sv_P10
17591,udp,sv_P16
35682,udp,service
32774,icmp,sv_P6
12624,tcp,sv_P10
44776,tcp,sv_P9
12967,tcp,sv_P4
36218,tcp,service
65364,icmp,sv_P11
63313,tcp,sv_P20
26636,udp,sv_P14
2590,icmp,sv_P11
41598,tcp,sv_P14
19028,icmp,sv_P4
45071,icmp,sv_P2
2344,udp,sv_P20
56126,udp,email
4970,icmp,sv_P14
24952,tcp,sv_P5
42459,icmp,sv_P15
13695,icmp,sv_P2
23605,icmp,sv_P19
54478,udp,sv_P2
45979,tcp,email
19354,icmp,sv_P16
20616,udp,sv_P19
33649,icmp,sv_P20
11058,tcp,sv_P7
16199,tcp,sv_P1
18977,tcp,sv_P4
22977,tcp,sv_P15
33725,icmp,service
48201,tcp,sv_P20
42199,udp,sv_P1
61738,udp,sv_P4
22893,udp,sv_P3
15346,udp,web
41585,udp,sv_P20
62786,udp,sv_P17
5960,udp,sv_P16
11500,udp,sv_P19
51329,udp,email
52135,tcp,sv_P12
16432,icmp,sv_P11
28625,udp,sv_P18
12560,udp,service
39673,tcp,sv_P12
6871,tcp,email
19469,udp,sv_P9
43573,udp,sv_P20
43430,icmp,sv_P17
17344,udp,sv_P15
40162,udp,sv_P2
47129,icmp,sv_P17
23832,icmp,sv_P3
11167,udp,sv_P7
30230,icmp,email
47296,icmp,sv_P6
32151,icmp,sv_P7
42988,icmp,sv_P7
24890,tcp,sv_P17
18048,udp,sv_P20
15401,udp,sv_P3
60082,icmp,sv_P1
29820,icmp,sv_P9
65432,tcp,sv_P2
24203,udp,sv_P7
24429,icmp,sv_P12
20261,tcp,service
22435,icmp,sv_P8
5147,udp,sv_P9
43537,tcp,sv_P17
57071,icmp,web
17153,icmp,email
4828,tcp,sv_P3
15036,udp,sv_P13
18405,udp,sv_P7
7358,udp,sv_P2
60383,icmp,sv_P1
51989,tcp,web
54697,udp,sv_P2
48573,tcp,sv_P19
1128,udp,sv_P11
20682,tcp,sv_P1
17138,udp,sv_P18
20490,udp,sv_P15
46560,icmp,sv_P3
43501,tcp,sv_P18
54696,udp,sv_P13
41084,icmp,email
57351,udp,sv_P17
32779,icmp,sv_P11
19239,tcp,sv_P18
7829,udp,sv_P16
36695,icmp,sv_P6
56276,udp,sv_P14
30286,udp,sv_P14
347,tcp,sv_P7
2726,tcp,sv_P6
32140,tcp,sv_P20
